"player.name","shot_count"
"Lionel Andrés Messi Cuccittini",171
"Luis Alberto Suárez Díaz",101
"Philippe Coutinho Correia",65
"Ivan Rakitić",35
"Ousmane Dembélé",35
"Arturo Erasmo Vidal Pardo",21
"Gerard Piqué Bernabéu",19
"Jordi Alba Ramos",12
"Carles Aleña Castillo",9
"Malcom Filipe Silva de Oliveira",9
"Sergi Roberto Carnicer",8
"Iñaki Williams Arthuer",7
"Samuel Chimerenka Chukwueze",7
"Sergio Busquets i Burgos",7
"Wissam Ben Yedder",7
"Ángel Luis Rodríguez Díaz",7
"Charles Días Barbosa de Oliveira",6
"Clément Lenglet",6
"Cristhian Ricardo Stuani Curbelo",6
"Daniel Parejo Muñoz",6
"Giovani Lo Celso",6
"Lorenzo Jesús Morón García",6
"Nélson Cabral Semedo",6
"Pablo Sarabia García",6
"Sergio Enrich Ametller",6
"Vinícius José Paixão de Oliveira Júnior",6
"Enis Bardhi",5
"Fabián Ariel Orellana Valenzuela",5
"Juan Miguel Jiménez López",5
"Raúl García Escudero",5
"Youssef En-Nesyri",5
"Yuri Berchiche Izeta",5
"Arthur Henrique Ramos de Oliveira Melo",4
"Cristian Tello Herrera",4
"Franco Damián Vázquez",4
"Jorge Molina Vidal",4
"Mikel Oyarzabal Ugarte",4
"Raúl de Tomás Gómez",4
"Sanjin Prcić",4
"Sergio Canales Madrazo",4
"Sergio Guardiola Navarro",4
"Óscar Rodríguez Arnaiz",4
"Antoine Griezmann",3
"Borja Iglesias Quintas",3
"Carlos Henrique Casimiro",3
"Cristian Portugués Manzanera",3
"Denis Cheryshev",3
"Enes Ünal",3
"Enrique García Martínez",3
"Hernán Arsenio Pérez González",3
"José Ángel Gómez Campaña",3
"Karl Brillant Toko Ekambi",3
"Mario Gaspar Pérez Martínez",3
"Mauro Wilney Arambarri Rosa",3
"Michy Batshuayi Tunga",3
"Munir El Haddadi Mohamed",3
"Rodrigo Moreno Machado",3
"Rubén Rochina Naixes",3
"Santiago Cazorla González",3
"Vicente Iborra De La Fuente",3
"Álvaro González Soberón",3
"Anaitz Arbilla Zabala",2
"Bernardo José Espinosa Zúñiga",2
"Borja Mayoral Moya",2
"Brais Méndez Portela",2
"Carlos Arturo Bacca Ahumada",2
"Daniele Verde",2
"David Remeseiro Salgueiro",2
"Diego da Silva Costa",2
"Emmanuel Okyere Boateng",2
"Erick Cathriel Cabaco Almada",2
"Francisco José Beltrán Peinado",2
